Job_Title,Comapny Name,Posted_date,Job_Link,Job_Description
AI/ML Python with Utilities,eCosmos,2024-01-25,https://in.linkedin.com/jobs/view/ai-ml-python-with-utilities-at-ecosmos-3815116962?refId=0tV3koOArH6uykx1fg2r%2BA%3D%3D&trackingId=TyBYvEYWUaSRYCuWjcht4A%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,"Location: Bengaluru US Shift: 5pm to 2am About The Company With over a decade of experience, we specialize in crafting bespoke integration solutions and empowering businesses across the globe with a combined approach to emerging technology. We use cutting edge enterprise platforms - Microsoft, Salesforce, SAP and more - Since our establishment in 2004, with our headquarters located in Tampa, USA, eCosmos has been extending global reach and domestic support to a diverse range of organizations, from start-ups to Fortune 500 companies. Job Summary AI/ML Model Development:Lead the design, development, and implementation of state-of-the- art AI/ML models. Utilize a wide range of machine learning algorithms and techniques to address complex challenges Data Pre-processing and Analysis:Be responsible for data collection, cleaning, and pre-processing to ensure high-quality datasets for AI/ML model training. Analyze data to gain valuable insights and optimize model performance Feature Engineering: Work on feature selection and extraction to improve model accuracy, efficiency, and robustness Evaluation and Optimization:Evaluate AI/ML model performance through various metrics and actively participate in optimization efforts to enhance overall efficiency Algorithm Research:Stay abreast of the latest advancements in AI/ML research and explore new algorithms to push the boundaries of our solutions Collaborative Development:Collaborate closely with the AI/ML team, software engineers, and data scientists to integrate AI solutions seamlessly into our products and services Documentation:Maintain detailed documentation of the AI/ML development process, experiments, and methodologies for future reference and knowledge sharing Testing and Validation:Ensure the reliability and scalability of AI/ML models through rigorous testing and validation procedures Innovation and Problem-Solving: Bring a proactive and creative approach to problem-solving and consistently seek opportunities to improve and innovate in AI/ML development Skills Required Educational Background:Bachelor's or Master's degree in Computer Science, Machine Learning, Artificial Intelligence, Data Science, or related fields Experience:Demonstrable experience in AI/ML development with a strong portfolio of projects showcasing your expertise Programming Skills:Proficiency in programming languages commonly used in AI/ML development, such as Python, R, or Java Machine Learning Knowledge:In-depth understanding of machine learning algorithms, neural networks, and AI frameworks like TensorFlow, PyTorch, or scikit-learn Data Manipulation:Solid experience in data manipulation, preprocessing, and feature engineering techniques Problem-Solving Abilities:Strong analytical and problem-solving skills to tackle complex AI/ML challenges Team Player:Excellent communication and collaboration skills to work effectively in a team- oriented environment Continuous Learning:Enthusiasm for staying up-to-date with the latest AI/ML advancements and eagerness to continuously learn and improve Show more "
Data Scientist,Acme Services,2024-01-29,https://in.linkedin.com/jobs/view/data-scientist-at-acme-services-3815717557?refId=0tV3koOArH6uykx1fg2r%2BA%3D%3D&trackingId=XbksKhcKfT9OV2M7aSVulg%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,"Job Description  Search analysis and improvement over the current algorithms Graph Algorithms Image Segmentation Personalized Search and Recommendations Products Ranking, User profiling Show more "
Machine Learning Engineer,H2O.ai,2024-01-16,https://in.linkedin.com/jobs/view/machine-learning-engineer-at-h2o-ai-3807971903?refId=0tV3koOArH6uykx1fg2r%2BA%3D%3D&trackingId=tTbFpBqp4Rp0mXCqKCMD%2BA%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,"About This Opportunity We are seeking a highly skilled and motivated Machine Learning Engineer to join our team in India. The successful candidate will have a strong background in machine learning and software engineering, with experience in developing and deploying machine learning models in real-world applications. The ideal candidate will have a passion for working with data, a strong understanding of machine learning algorithms and techniques, cloud technology and the ability to communicate complex technical concepts to stakeholders. As a Machine Learning Engineer, you will work closely with technical teams on our customer side and Enterprise Support and Product Engineering teams internally. What You Will Do  Deliver technical professional services to the customer Work closely with H2O.ai Data Scientists in advising and developing end to end machine learning solutions (from a data engineering perspective) for the customer requirements Integrate H2O.ai products with customer data sources for model training Integrate machine learning models/pipelines (Python and mojo scoring pipelines) with customer systems for scoring (relatime/batch) as well as model monitoring and operations Implement end to end ML data flow pipelines that help streamline and data science solutions to a business problem Implement AI driven applications using the open source H2O.ai Wave SDK Provide/gather customer feedback so that you can work with the H2O.ai Engineering team to further enhance our products for needed features Ensure the scalability, reliability, and performance of deployed models by implementing appropriate monitoring, testing, and debugging processes Be the trusted solutions advisor for our customers and partners Communicate effectively with a diverse audience of internal and external stakeholders consisting of: engineers, business people, partners, executives Translate business cases and requirements into value based technical solutions through the architecture of machine learning workflows and systems from data ingestion to model deployment  What We Are Looking For  Bachelor’s or a higher education degree in Computer Science/Engineering, Data Science, Statistics or related field  Data Engineering Skills:  Experience building data pipelines, ETL data sets, preferably on ‘Big Data’ Excellent knowledge of SQL query language and working with relational databases  Programming Languages/Frameworks:  Proficient in Python or R for data science. Java, Bash scripting, Scala Go are a plus Experience with writing REST API using microservices frameworks in Python or Java  Data Science skills:  Experience of visualizing and presenting (EDA) to stakeholders using H2O Wave (plus), or other standard data visualization libraries in the Python and R stacks or using Tableau/PowerBI. Experience with post production model monitoring tools like H2O ML Ops (plus) MLFlow etc. Understanding of using a variety of machine learning techniques (supervised/unsupervised, clustering, decision tree learning, neural networks, etc.) and their real-world advantages/drawbacks/tuning techniques Understanding of using advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) for practical applications  Customer Experience:  Experience working in a customer-facing environment, providing technical services Excellent communication skills (proficient in spoken and written English). Additional languages are a plus. Amicable attitude Aptitude to independently investigate and find solutions to technical problems; urge to learn/master new technologies  How To Stand Out From The Crowd  Experience with big data technologies such as Hadoop, Spark, or NoSQL databases Familiarity with DevOps practices and tools such as Git, Jenkins, ArgoCD Knowledge of data privacy and security principles Experience with natural language processing or computer vision tasks Experience with model interpretability techniques such as feature importance, partial dependence plots, or SHAP values Experience with IaC technologies such as Terraform, AWS Cloud Formation Experience with containerization technologies such as Kubernetes, Docker Experience of debugging/troubleshooting containerized workloads and familiarity with tools such as kubectl, helm etc.  Why H2O.ai?  Market Leader in Total Rewards Remote-Friendly Culture Flexible working environment Be part of a world-class team Career Growth  H2O.ai is committed to creating a diverse and inclusive culture. All qualified applicants will receive consideration for employment without regard to their race, ethnicity, religion, gender, sexual orientation, age, disability status or any other legally protected basis. H2O.ai is an innovative AI cloud platform company, leading the mission to democratize AI for everyone. Thousands of organizations from all over the world have used our cutting-edge technology across a variety of industries. We’ve made it easy for people at all levels to generate breakthrough solutions to complex business problems and advance the discovery of new ideas and revenue streams. We push the boundaries of what is possible with artificial intelligence. H2O.ai employs the world’s top Kaggle Grandmasters, the community of best-in-the-world machine learning practitioners and data scientists. A strong AI for Good ethos and responsible AI drive the company’s purpose. Please visitto learn more. Powered by JazzHR shrXWKwLru Show more "
AI/ML Engineer,K-RY Tech Advisory,2024-01-24,https://in.linkedin.com/jobs/view/ai-ml-engineer-at-k-ry-tech-advisory-3813458006?refId=0tV3koOArH6uykx1fg2r%2BA%3D%3D&trackingId=if3vThhI8hTGHXxs9HPJBA%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,"Job Summary We are seeking a highly skilled and experienced AI/ML Engineer to join our dynamic team. The ideal candidate will have a solid background in artificial intelligence and machine learning, with a proven track record of developing and implementing innovative solutions. As an AI/ML Engineer, you will be responsible for designing, building, and deploying machine learning models to solve complex problems and enhance our products or services. Key Responsibilities Algorithm Development:  Design and develop advanced machine learning algorithms to address business challenges. Implement, test, and optimize machine learning models for performance and scalability.  Data Analysis And Preprocessing  Explore and analyze large datasets to identify patterns, trends, and insights. Preprocess and clean data to ensure high-quality input for machine learning models.  Model Training And Evaluation  Train and fine-tune machine learning models using relevant frameworks and libraries. Evaluate model performance and iterate on improvements based on results and feedback.  Feature Engineering  Collaborate with cross-functional teams to identify and extract meaningful features from data. Optimize feature selection and engineering processes to enhance model accuracy.  Deployment And Integration  Deploy machine learning models into production environments. Work closely with software engineers to integrate models into existing systems and applications.  Continuous Learning And Research  Stay up-to-date with the latest advancements in AI/ML technologies and methodologies. Research to explore and experiment with new approaches to problem-solving.  Collaboration And Communication  Collaborate with cross-functional teams, including data scientists, software engineers, and product managers. Communicate complex technical concepts to both technical and non-technical stakeholders.  Qualifications And Skills  Bachelor's or Master's degree in Computer Science, Engineering, or a related field. 5-6 years of professional experience in AI/ML development. Strong programming skills in languages such as Python, Java, or C++. Experience with popular machine learning frameworks (e.g., TensorFlow, PyTorch). Proficiency in data manipulation and analysis using tools like Pandas and NumPy. Solid understanding of statistical concepts and machine learning algorithms. Experience with model deployment and integration in production environments. Strong problem-solving skills and the ability to think critically about complex issues. Excellent communication and collaboration skills.  Skills: learning,machine learning,data,ml,machine learning models,skills,algorithms,collaboration,communication,artificial intelligence Show more "
Machine Learning Engineer,Opendoor,2024-01-21,https://in.linkedin.com/jobs/view/machine-learning-engineer-at-opendoor-3750030423?refId=0tV3koOArH6uykx1fg2r%2BA%3D%3D&trackingId=KfiZgcQby3toH23XtCIGeA%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,"About Opendoor Founded in 2014, Opendoor’s mission is to empower everyone with the freedom to move. We believe the traditional real estate process is broken and our goal is simple: build a digital, end-to-end customer experience that makes buying and selling a home simple, certain and fast. We have assembled a dedicated team with diverse backgrounds to support more than 100,000 homes bought and sold with us and the customers who have selected Opendoor as a trusted partner in handling one of their largest financial transactions. But the work is far from over as we continue to grow in new markets. Transforming the real estate industry takes tenacity and dedication. It takes problem solvers and builders. It takes a tight knit community of teammates doing the best work of their lives, pushing one another to transform a complicated process into a simple one. So where do you fit in? Whether you’re passionate about real estate, people, numbers, words, code, or strategy -- we have a place for you. Real estate is broken. Come help us fix it. This position is based in Hyderabad. We are open to consider candidates for relocation. About The Team The Machine Learning Foundation team owns the frameworks and systems necessary to empower rapid and sustained iteration on Opendoor’s industry-leading models for pricing, risk, and macro forecasting in real estate. The ability to rapidly experiment and deploy models is central to Opendoor’s ability to thrive in a dynamic marketplace. This team will work with MLEs and Researchers to design and support next generation ML infrastructure. Role Responsibilities:  Designing, implementing, and supporting a framework for the full ML lifecycle specialized to Opendoor’s unique requirements Maintaining and operating critical, large-scale ML pipelines such as Opendoor’s Valuation Model Productionizing and modernizing features, pipelines, and their store Integrating solutions with industry-standard ML PaaS such as MLFlow, Databricks, Anomalo, and Snowflake  Skills Needed:  BS or MS degree in Computer Science, Engineering, or a related technical field 6+ years of experience working with large-scale data / ML pipelines and their supporting infrastructure Proficiency with systems design and data modeling Fluency with workflow management tools, like Airflow or dbt Experience with modern data warehouses, like Snowflake, Databricks, or BigQuery Familiarity with distributed batch compute technologies such as Spark. Expertise breaking down complex problems, documenting solutions, and sequencing work to make iterative improvements Significant experience with Python Familiarity with software design principles, big data architecture, and test-driven development  More About Us To learn how we are reinventing the Real Estate industry check out our website, to hear about our culture directly from team members visit The Muse and to discover what we are building for our customers read our blog posts.  Show more "
AI/ML Engineer,K-RY Tech Advisory,2024-01-24,https://in.linkedin.com/jobs/view/ai-ml-engineer-at-k-ry-tech-advisory-3813457070?refId=0tV3koOArH6uykx1fg2r%2BA%3D%3D&trackingId=yiQC9kKE7VUirpmxY6XVsw%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,"Job Summary We are seeking a highly skilled and experienced AI/ML Engineer to join our dynamic team. The ideal candidate will have a solid background in artificial intelligence and machine learning, with a proven track record of developing and implementing innovative solutions. As an AI/ML Engineer, you will be responsible for designing, building, and deploying machine learning models to solve complex problems and enhance our products or services. Key Responsibilities Algorithm Development:  Design and develop advanced machine learning algorithms to address business challenges. Implement, test, and optimize machine learning models for performance and scalability.  Data Analysis And Preprocessing  Explore and analyze large datasets to identify patterns, trends, and insights. Preprocess and clean data to ensure high-quality input for machine learning models.  Model Training And Evaluation  Train and fine-tune machine learning models using relevant frameworks and libraries. Evaluate model performance and iterate on improvements based on results and feedback.  Feature Engineering  Collaborate with cross-functional teams to identify and extract meaningful features from data. Optimize feature selection and engineering processes to enhance model accuracy.  Deployment And Integration  Deploy machine learning models into production environments. Work closely with software engineers to integrate models into existing systems and applications.  Continuous Learning And Research  Stay up-to-date with the latest advancements in AI/ML technologies and methodologies. Research to explore and experiment with new approaches to problem-solving.  Collaboration And Communication  Collaborate with cross-functional teams, including data scientists, software engineers, and product managers. Communicate complex technical concepts to both technical and non-technical stakeholders.  Qualifications And Skills  Bachelor's or Master's degree in Computer Science, Engineering, or a related field. 5-6 years of professional experience in AI/ML development. Strong programming skills in languages such as Python, Java, or C++. Experience with popular machine learning frameworks (e.g., TensorFlow, PyTorch). Proficiency in data manipulation and analysis using tools like Pandas and NumPy. Solid understanding of statistical concepts and machine learning algorithms. Experience with model deployment and integration in production environments. Strong problem-solving skills and the ability to think critically about complex issues. Excellent communication and collaboration skills.  Skills: learning,machine learning,data,ml,machine learning models,skills,algorithms,collaboration,communication,artificial intelligence Show more "
AI/ML Engineer,K-RY Tech Advisory,2024-01-24,https://in.linkedin.com/jobs/view/ai-ml-engineer-at-k-ry-tech-advisory-3813457072?refId=0tV3koOArH6uykx1fg2r%2BA%3D%3D&trackingId=uGzleszyYET1VZsKtQoC4Q%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,"Job Summary We are seeking a highly skilled and experienced AI/ML Engineer to join our dynamic team. The ideal candidate will have a solid background in artificial intelligence and machine learning, with a proven track record of developing and implementing innovative solutions. As an AI/ML Engineer, you will be responsible for designing, building, and deploying machine learning models to solve complex problems and enhance our products or services. Key Responsibilities Algorithm Development:  Design and develop advanced machine learning algorithms to address business challenges. Implement, test, and optimize machine learning models for performance and scalability.  Data Analysis And Preprocessing  Explore and analyze large datasets to identify patterns, trends, and insights. Preprocess and clean data to ensure high-quality input for machine learning models.  Model Training And Evaluation  Train and fine-tune machine learning models using relevant frameworks and libraries. Evaluate model performance and iterate on improvements based on results and feedback.  Feature Engineering  Collaborate with cross-functional teams to identify and extract meaningful features from data. Optimize feature selection and engineering processes to enhance model accuracy.  Deployment And Integration  Deploy machine learning models into production environments. Work closely with software engineers to integrate models into existing systems and applications.  Continuous Learning And Research  Stay up-to-date with the latest advancements in AI/ML technologies and methodologies. Research to explore and experiment with new approaches to problem-solving.  Collaboration And Communication  Collaborate with cross-functional teams, including data scientists, software engineers, and product managers. Communicate complex technical concepts to both technical and non-technical stakeholders.  Qualifications And Skills  Bachelor's or Master's degree in Computer Science, Engineering, or a related field. 5-6 years of professional experience in AI/ML development. Strong programming skills in languages such as Python, Java, or C++. Experience with popular machine learning frameworks (e.g., TensorFlow, PyTorch). Proficiency in data manipulation and analysis using tools like Pandas and NumPy. Solid understanding of statistical concepts and machine learning algorithms. Experience with model deployment and integration in production environments. Strong problem-solving skills and the ability to think critically about complex issues. Excellent communication and collaboration skills.  Skills: learning,machine learning,data,ml,machine learning models,skills,algorithms,collaboration,communication,artificial intelligence Show more "
AI/ML Engineer,K-RY Tech Advisory,2024-01-24,https://in.linkedin.com/jobs/view/ai-ml-engineer-at-k-ry-tech-advisory-3813454697?refId=0tV3koOArH6uykx1fg2r%2BA%3D%3D&trackingId=EQ5NMq4CP3z9AHShUYhMpw%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,"Job Summary We are seeking a highly skilled and experienced AI/ML Engineer to join our dynamic team. The ideal candidate will have a solid background in artificial intelligence and machine learning, with a proven track record of developing and implementing innovative solutions. As an AI/ML Engineer, you will be responsible for designing, building, and deploying machine learning models to solve complex problems and enhance our products or services. Key Responsibilities Algorithm Development:  Design and develop advanced machine learning algorithms to address business challenges. Implement, test, and optimize machine learning models for performance and scalability.  Data Analysis And Preprocessing  Explore and analyze large datasets to identify patterns, trends, and insights. Preprocess and clean data to ensure high-quality input for machine learning models.  Model Training And Evaluation  Train and fine-tune machine learning models using relevant frameworks and libraries. Evaluate model performance and iterate on improvements based on results and feedback.  Feature Engineering  Collaborate with cross-functional teams to identify and extract meaningful features from data. Optimize feature selection and engineering processes to enhance model accuracy.  Deployment And Integration  Deploy machine learning models into production environments. Work closely with software engineers to integrate models into existing systems and applications.  Continuous Learning And Research  Stay up-to-date with the latest advancements in AI/ML technologies and methodologies. Research to explore and experiment with new approaches to problem-solving.  Collaboration And Communication  Collaborate with cross-functional teams, including data scientists, software engineers, and product managers. Communicate complex technical concepts to both technical and non-technical stakeholders.  Qualifications And Skills  Bachelor's or Master's degree in Computer Science, Engineering, or a related field. 5-6 years of professional experience in AI/ML development. Strong programming skills in languages such as Python, Java, or C++. Experience with popular machine learning frameworks (e.g., TensorFlow, PyTorch). Proficiency in data manipulation and analysis using tools like Pandas and NumPy. Solid understanding of statistical concepts and machine learning algorithms. Experience with model deployment and integration in production environments. Strong problem-solving skills and the ability to think critically about complex issues. Excellent communication and collaboration skills.  Skills: learning,machine learning,data,ml,machine learning models,skills,algorithms,collaboration,communication,artificial intelligence Show more "
AI/ML Engineer,K-RY Tech Advisory,2024-01-24,https://in.linkedin.com/jobs/view/ai-ml-engineer-at-k-ry-tech-advisory-3813458004?refId=0tV3koOArH6uykx1fg2r%2BA%3D%3D&trackingId=LlCJHR6dEl31b3XhyoSfZA%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,"Job Summary We are seeking a highly skilled and experienced AI/ML Engineer to join our dynamic team. The ideal candidate will have a solid background in artificial intelligence and machine learning, with a proven track record of developing and implementing innovative solutions. As an AI/ML Engineer, you will be responsible for designing, building, and deploying machine learning models to solve complex problems and enhance our products or services. Key Responsibilities Algorithm Development:  Design and develop advanced machine learning algorithms to address business challenges. Implement, test, and optimize machine learning models for performance and scalability.  Data Analysis And Preprocessing  Explore and analyze large datasets to identify patterns, trends, and insights. Preprocess and clean data to ensure high-quality input for machine learning models.  Model Training And Evaluation  Train and fine-tune machine learning models using relevant frameworks and libraries. Evaluate model performance and iterate on improvements based on results and feedback.  Feature Engineering  Collaborate with cross-functional teams to identify and extract meaningful features from data. Optimize feature selection and engineering processes to enhance model accuracy.  Deployment And Integration  Deploy machine learning models into production environments. Work closely with software engineers to integrate models into existing systems and applications.  Continuous Learning And Research  Stay up-to-date with the latest advancements in AI/ML technologies and methodologies. Research to explore and experiment with new approaches to problem-solving.  Collaboration And Communication  Collaborate with cross-functional teams, including data scientists, software engineers, and product managers. Communicate complex technical concepts to both technical and non-technical stakeholders.  Qualifications And Skills  Bachelor's or Master's degree in Computer Science, Engineering, or a related field. 5-6 years of professional experience in AI/ML development. Strong programming skills in languages such as Python, Java, or C++. Experience with popular machine learning frameworks (e.g., TensorFlow, PyTorch). Proficiency in data manipulation and analysis using tools like Pandas and NumPy. Solid understanding of statistical concepts and machine learning algorithms. Experience with model deployment and integration in production environments. Strong problem-solving skills and the ability to think critically about complex issues. Excellent communication and collaboration skills.  Skills: learning,machine learning,data,ml,machine learning models,skills,algorithms,collaboration,communication,artificial intelligence Show more "
AI/ML Engineer,K-RY Tech Advisory,2024-01-24,https://in.linkedin.com/jobs/view/ai-ml-engineer-at-k-ry-tech-advisory-3813451956?refId=0tV3koOArH6uykx1fg2r%2BA%3D%3D&trackingId=nxWj4Nv7a%2BFIHdadbgkC6Q%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,"Job Summary We are seeking a highly skilled and experienced AI/ML Engineer to join our dynamic team. The ideal candidate will have a solid background in artificial intelligence and machine learning, with a proven track record of developing and implementing innovative solutions. As an AI/ML Engineer, you will be responsible for designing, building, and deploying machine learning models to solve complex problems and enhance our products or services. Key Responsibilities Algorithm Development:  Design and develop advanced machine learning algorithms to address business challenges. Implement, test, and optimize machine learning models for performance and scalability.  Data Analysis And Preprocessing  Explore and analyze large datasets to identify patterns, trends, and insights. Preprocess and clean data to ensure high-quality input for machine learning models.  Model Training And Evaluation  Train and fine-tune machine learning models using relevant frameworks and libraries. Evaluate model performance and iterate on improvements based on results and feedback.  Feature Engineering  Collaborate with cross-functional teams to identify and extract meaningful features from data. Optimize feature selection and engineering processes to enhance model accuracy.  Deployment And Integration  Deploy machine learning models into production environments. Work closely with software engineers to integrate models into existing systems and applications.  Continuous Learning And Research  Stay up-to-date with the latest advancements in AI/ML technologies and methodologies. Research to explore and experiment with new approaches to problem-solving.  Collaboration And Communication  Collaborate with cross-functional teams, including data scientists, software engineers, and product managers. Communicate complex technical concepts to both technical and non-technical stakeholders.  Qualifications And Skills  Bachelor's or Master's degree in Computer Science, Engineering, or a related field. 5-6 years of professional experience in AI/ML development. Strong programming skills in languages such as Python, Java, or C++. Experience with popular machine learning frameworks (e.g., TensorFlow, PyTorch). Proficiency in data manipulation and analysis using tools like Pandas and NumPy. Solid understanding of statistical concepts and machine learning algorithms. Experience with model deployment and integration in production environments. Strong problem-solving skills and the ability to think critically about complex issues. Excellent communication and collaboration skills.  Skills: learning,machine learning,data,ml,machine learning models,skills,algorithms,collaboration,communication,artificial intelligence Show more "
AI/ML Engineer,K-RY Tech Advisory,2024-01-24,https://in.linkedin.com/jobs/view/ai-ml-engineer-at-k-ry-tech-advisory-3813458005?refId=0tV3koOArH6uykx1fg2r%2BA%3D%3D&trackingId=tbCH0ML7Xs4yMRr%2BeNjaJA%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,"Job Summary We are seeking a highly skilled and experienced AI/ML Engineer to join our dynamic team. The ideal candidate will have a solid background in artificial intelligence and machine learning, with a proven track record of developing and implementing innovative solutions. As an AI/ML Engineer, you will be responsible for designing, building, and deploying machine learning models to solve complex problems and enhance our products or services. Key Responsibilities Algorithm Development:  Design and develop advanced machine learning algorithms to address business challenges. Implement, test, and optimize machine learning models for performance and scalability.  Data Analysis And Preprocessing  Explore and analyze large datasets to identify patterns, trends, and insights. Preprocess and clean data to ensure high-quality input for machine learning models.  Model Training And Evaluation  Train and fine-tune machine learning models using relevant frameworks and libraries. Evaluate model performance and iterate on improvements based on results and feedback.  Feature Engineering  Collaborate with cross-functional teams to identify and extract meaningful features from data. Optimize feature selection and engineering processes to enhance model accuracy.  Deployment And Integration  Deploy machine learning models into production environments. Work closely with software engineers to integrate models into existing systems and applications.  Continuous Learning And Research  Stay up-to-date with the latest advancements in AI/ML technologies and methodologies. Research to explore and experiment with new approaches to problem-solving.  Collaboration And Communication  Collaborate with cross-functional teams, including data scientists, software engineers, and product managers. Communicate complex technical concepts to both technical and non-technical stakeholders.  Qualifications And Skills  Bachelor's or Master's degree in Computer Science, Engineering, or a related field. 5-6 years of professional experience in AI/ML development. Strong programming skills in languages such as Python, Java, or C++. Experience with popular machine learning frameworks (e.g., TensorFlow, PyTorch). Proficiency in data manipulation and analysis using tools like Pandas and NumPy. Solid understanding of statistical concepts and machine learning algorithms. Experience with model deployment and integration in production environments. Strong problem-solving skills and the ability to think critically about complex issues. Excellent communication and collaboration skills.  Skills: learning,machine learning,data,ml,machine learning models,skills,algorithms,collaboration,communication,artificial intelligence Show more "
Data Scientist,True Tech Professionals,2024-01-12,https://in.linkedin.com/jobs/view/data-scientist-at-true-tech-professionals-3805056350?refId=0tV3koOArH6uykx1fg2r%2BA%3D%3D&trackingId=eJaBaJXrSQF9Pl5DxkhfEw%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card,"Description Data Scientist Role And Responsibilities As a Data Scientist you will:  Leverage data to drive informed decision-making and solve complex business challenges. Develop and deploy machine learning models and predictive models. Clean, manipulate, and visualize data to extract actionable insights using tools such as Python and data visualization libraries. Work with cross-functional teams to interpret data and communicate findings, contributing to strategic initiatives and improving business performance. Demonstrate strong problem-solving skills, tackling challenging data science problems and delivering actionable solutions. Stay updated with the latest developments in data science and machine learning, adapting to evolving technologies and methodologies.  Required Qualifications Formal Academic Background: Bachelor's, Master's, or Ph.D. degree in Computer Science, Data Science, Machine Learning, or a related field. Machine Learning Proficiency 3+ years of proven experience in creating and deploying machine learning models in production environments. In-depth knowledge of machine learning algorithms and techniques, with hands-on experience in real-world applications. Familiarity with libraries like TensorFlow, PyTorch, or scikit-learn. Proficiency in data visualization tools such as Matplotlib, Seaborn, Tableau. SQL And Database Knowledge Strong SQL skills and experience with relational databases (e.g., PostgreSQL, MySQL) and NoSQL databases (e.g., MongoDB). Communication And Collaboration Excellent verbal and written communication skills to convey complex technical findings to non-technical stakeholders. Ability to work collaboratively in interdisciplinary teams. Continuous Learning And Adaptation Commitment to staying updated with the latest developments in data science and machine learning. Preferred Qualifications Experience with cloud platforms (e.g., AWS, Azure, Google Cloud) and containerization technologies (e.g., Docker, Kubernetes). Familiarity with DevOps practices and continuous integration/continuous deployment (CI/CD) pipelines. Knowledge of ethical and responsible AI practices, including bias mitigation and fairness. Skills: data science,tensorflow,pytorch,tableau,sql,cloud,machine learning Show more "
ML Engineer,Changeleaders.in,2024-01-12,https://in.linkedin.com/jobs/view/ml-engineer-at-changeleaders-in-3804038897?refId=0tV3koOArH6uykx1fg2r%2BA%3D%3D&trackingId=WYx3DZCD3QhDO1nGsfQm0A%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card,"Job Description M. L. Engineer Exp: 5+ Yrs. Loc: Pan India (Remote) Shift timing - 2pm to 11pm IST Budget: 26 LPA Max. Primary Skills: Docker, Machine learning, SQL, Python, Kubernetes Good-To-Have: AWS / Azure Plus Roles & Responsibilities Develop across our evolving technology stack - weʼre using Python, Java, Kubernetes, Apache Spark, Postgres, Redis, ArgoCD, Argo Workflow, Seldon, MLFlow and more. We are migrating into AWS cloud and adopting many services that are available in that environment.  You will have the opportunity to learn many cutting edge technologies around Machine Learning Platform. You will push  the boundaries, to test, develop and implement new ideas, technology and opportunities, and be well rewarded and recognized for doing so.  Take responsibility for all aspects of software engineering, from design to implementation,QA, maintenance, and support.  Touch code at every level – from the UI, backend microservices, database, big data processing, operations, to CD/CI automation. Collaborate closely with data science teams to define requirements, discuss solutions, and develop high quality deliverables for our customers.  Take ownership for the quality of the code.  Expertise And Qualifications Must have Skills:  Python SQL Exposure to Machine learning Practices Docker Kubernetes  Good To Have  Java Argo Spark AWS Show more "
Machine learning developer,NuStar Technologies,2024-01-29,https://in.linkedin.com/jobs/view/machine-learning-developer-at-nustar-technologies-3815765498?refId=0tV3koOArH6uykx1fg2r%2BA%3D%3D&trackingId=YXoygVZHjEnx2xUV5ZuE9A%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card,"Location-Hyderabad Notice Perioed- Serving upto 45 days only ML Engineer Experience In Python, Pandas, Numpy Text Processing Required. Experience in NLP Techniques Experience In RASA Or Any Other Conversational Framework Text Processing Techniques- NLTK, Text Embeddings etc. Exposure in deploying ML models in Cloud Exposure to Docker Containers and Kubernetes Understanding of MLOps Show more "
